dep,codgeo,libgeo,population
40,40044,Biaudos,988.0
07,07254,Saint-Julien-du-Serre,869.0
68,68215,Montreux-Vieux,914.0
28,28235,Marchezais,406.0
01,01057,Boz,510.0
14,14623,Saint-Martin-de-Fontenay,2515.0
02,02610,Pommiers,750.0
2B,2B316,Santa-Reparata-di-Balagna,1004.0
19,19048,Le Chastang,347.0
02,02320,Fontaine-lès-Clercs,229.0
52,52352,Ninville,62.0
23,23044,Chambon-Sainte-Croix,84.0
28,28180,Gilles,490.0
45,45284,Saint-Jean-de-Braye,21700.0
25,25009,Aïssey,163.0
22,22240,Plumaugat,1130.0
61,61444,Saint-Philbert-sur-Orne,114.0
25,25574,Uzelle,179.0
57,57447,Marly,9971.0
55,55583,Woël,208.0
50,50276,Lolif,599.0
46,46049,Calvignac,228.0
48,48105,Naussac,371.0
41,41198,Saint-Aignan,2821.0
17,17418,Salignac-sur-Charente,608.0
971,971106,Bouillante,6634.0
38,38503,La Terrasse,2481.0
28,28255,Moinville-la-Jeulin,163.0
2B,2B059,Canavaggia,116.0
27,27325,Hecmanville,196.0
89,89209,Jouy,511.0
14,14715,Trouville-sur-Mer,4622.0
59,59608,Vendegies-sur-Écaillon,1118.0
48,48064,Fournels,369.0
35,35308,Saint-Pierre-de-Plesguen,4422.0
44,44021,Bourgneuf-en-Retz,5003.0
54,54134,Colmey,241.0
08,08444,Tétaigne,128.0
66,66095,Latour-de-Carol,461.0
88,88274,Longchamp-sous-Châtenois,82.0
25,25282,Goux-les-Usiers,791.0
42,42086,Écoche,504.0
23,23239,Saint-Sébastien,627.0
76,76728,La Vaupalière,1192.0
54,54557,Velaine-en-Haye,2350.0
66,66124,Font-Romeu-Odeillo-Via,1780.0
25,25115,Champagney,274.0
63,63304,Roche-d'Agoux,112.0
89,89460,Villeneuve-la-Guyard,3464.0
91,91085,Boissy-sous-Saint-Yon,3828.0
09,09290,Sentein,164.0
22,22280,Saint-Carné,1096.0
