codgeo,libgeo,revenu_median
02391,Jeantes,20940.0
02392,Joncourt,23280.0
02393,Jouaignes,22980.0
02395,Jumencourt,22350.0
02396,Jumigny,
02397,Jussy,21880.0
02398,Juvigny,22680.0
02399,Juvincourt-et-Damary,23300.0
02400,Laffaux,20710.0
02401,Laigny,22620.0
02402,Lanchy,
02403,Laifay-et-Bertaignemont,18960.0
02404,Laouzy-la-Cour,22660.0
02405,Laouzy-la-Ville,21980.0
02406,Laricourt,24000.0
02407,Laniscourt,24570.0
02408,Laon,18000.0
02409,Lappion,21020.0
02410,Largny-sur-Automne,27080.0
02411,Latilly,23690.0
02412,Launoy,
02413,Laval-en-Laonnois,25020.0
02414,Lavaqueresse,20140.0
02415,Laversine,25870.0
02416,Lemé,19550.0
02417,Lempire,21140.0
02418,Lerzy,21980.0
02419,Leschelle,24190.0
02420,Lesdins,25460.0
02421,Lesges,
02422,Lesquielles-Saint-Germain,19450.0
02423,Leuilly-sous-Coucy,23010.0
02424,Leury,24490.0
02425,Leuze,20640.0
02426,Levergies,22780.0
02427,Lhuys,20630.0
02428,Licy-Clignon,
02429,Lierval,24400.0
02430,Liesse-Notre-Dame,20300.0
02431,Liez,21450.0
02432,Limé,22500.0
02433,Lislet,20650.0
02435,Logny-lès-Aubenton,
02438,Longpont,23520.0
02439,Les Septvallons,22130.0
02440,Lor,21380.0
02441,Louâtre,24490.0
02442,Loupeigne,
02443,Lucy-le-Bocage,26090.0
02444,Lugny,20060.0
02445,Luzoir,21120.0
02446,Ly-Fontaine,23530.0
02447,Maast-et-Violaine,20230.0
02448,Mâchecourt,20690.0
02449,Macogny,
02450,Macquigny,18980.0
02451,Magny-la-Fosse,20670.0
02452,Maissemy,24660.0
02453,Maizy,22110.0
02454,La Malmaison,21430.0
02455,Malzy,22820.0
02456,Manicamp,20770.0
02457,Marchais,19640.0
02458,Dhuys et Morin-en-Brie,23090.0
02459,Marcy,30430.0
02460,Marcy-sous-Marle,20840.0
02461,Marest-Dampcourt,22600.0
02462,Mareuil-en-Dôle,21480.0
02463,Marfontaine,
02464,Margival,22820.0
