dep,codgeo,libgeo,population,revenu_median,categorie_revenu,pression_socioeco,cluster
69,69256,Vaulx-en-Velin,52139.0,17180.0,Très faible,7.132374934780754,0
56,56200,Ruffiac,1370.0,21310.0,Faible,0.1671266153612538,0
21,21567,Saint-Prix-lès-Arnay,207.0,22030.0,Faible,0.0247177013077867,0
80,80472,Lesboeufs,167.0,22300.0,Faible,0.0197796959541169,0
39,39194,Desnes,485.0,21920.0,Faible,0.0581047030294427,0
76,76720,Varengeville-sur-Mer,955.0,26970.0,Élevé,0.0971238320052042,3
08,08494,Wadelincourt,451.0,23460.0,Moyen,0.0515416071364739,3
54,54466,Royaumeix,407.0,24020.0,Moyen,0.045696113485044,3
30,30020,Aubord,2339.0,24550.0,Moyen,0.2581683579115434,3
76,76362,Heurteauville,290.0,23300.0,Moyen,0.0333083873887708,3
08,08456,Tournavaux,230.0,24040.0,Moyen,0.0258068665043438,3
70,70483,Scye,138.0,24760.0,Élevé,0.0151279356748147,3
78,78431,Morainvilliers,3082.0,36400.0,Élevé,0.209254935825446,2
66,66024,Le Boulou,5321.0,20130.0,Très faible,0.6716180905871788,0
38,38200,Jarrie,3903.0,28430.0,Élevé,0.3765089902899404,2
87,87133,Saint-Amand-Magnazeix,483.0,20120.0,Très faible,0.0609817079998173,0
17,17317,Saint-Ciers-du-Taillon,574.0,18640.0,Très faible,0.0755163617734695,0
86,86190,Persac,719.0,19080.0,Très faible,0.0934587120742824,0
69,69029,Bron,43049.0,21950.0,Faible,5.152791720141441,0
76,76358,Le Héron,249.0,21070.0,Très faible,0.030589794063184,0
33,33021,Auros,1047.0,22000.0,Faible,0.1251340148534243,0
81,81067,Cestayrols,466.0,22220.0,Faible,0.0553272833836259,0
15,15012,Arpajon-sur-Cère,6315.0,23500.0,Moyen,0.7207912661872234,3
50,50265,Laulne,189.0,19410.0,Très faible,0.0243434497640926,0
61,61507,Villiers-sous-Mortagne,255.0,22340.0,Faible,0.0301659649443052,0
58,58080,La Collancelle,164.0,19450.0,Très faible,0.0210999005375618,0
11,11356,Saint-Martin-Lalande,1113.0,22230.0,Faible,0.132104449854726,0
47,47309,Tombeboeuf,454.0,18550.0,Très faible,0.059875443379281,0
45,45346,Vitry-aux-Loges,2240.0,24790.0,Élevé,0.2453140003646701,3
71,71054,Bragny-sur-Saône,686.0,23480.0,Moyen,0.0783489154110681,3
85,85130,Maché,1678.0,22590.0,Faible,0.1970000618576143,0
88,88029,Bains-les-Bains,1572.0,19550.0,Très faible,0.201686737941855,0
27,27483,Quatremare,438.0,24360.0,Moyen,0.0486428066738995,3
08,08264,Machault,503.0,21660.0,Faible,0.0607299844040491,0
25,25113,Chamesey,140.0,24960.0,Élevé,0.0152468071421413,3
59,59632,Wallers,5598.0,19980.0,Très faible,0.7095912510244436,0
78,78322,Jouy-en-Josas,7928.0,35740.0,Élevé,0.557035424068647,2
27,27492,Romilly-la-Puthenaye,321.0,21750.0,Faible,0.0386525488717561,0
67,67309,Mundolsheim,5074.0,27220.0,Élevé,0.5114802643259213,3
39,39469,Rouffange,118.0,23230.0,Moyen,0.0135826782952672,3
73,73197,Peisey-Nancroix,634.0,22460.0,Faible,0.0747281392693752,0
41,41147,Les Montils,1904.0,24300.0,Moyen,0.2118613612314715,3
64,64063,Arzacq-Arraziguet,1048.0,20890.0,Très faible,0.1294236401619988,0
