dep,codgeo,libgeo,population,revenu_median,categorie_revenu,pression_socioeco
13,13206,Marseille 6e  Arrondissement,39647.0,24150.0,Moyen,4.4329089101439
40,40147,Laurède,368.0,21360.0,Faible,0.04482644466799259
47,47101,Fourques-sur-Garonne,1322.0,24080.0,Moyen,0.14814381709069233
88,88076,Brouvelieures,421.0,20680.0,Très faible,0.052308679409650685
42,42212,Saint-Cyr-de-Favières,1019.0,23910.0,Moyen,0.11481051544685753
89,89321,Ravières,719.0,20000.0,Très faible,0.09108744855778102
77,77416,Saint-Just-en-Brie,255.0,26950.0,Élevé,0.025951871053600816
54,54248,Hamonville,101.0,,,
82,82148,Puylaroque,682.0,20110.0,Très faible,0.08613112495326569
47,47008,Ambrus,109.0,,,
65,65145,Chèze,49.0,,,
03,03063,Chassenard,1026.0,21820.0,Faible,0.12328620162820846
65,65085,Bernadets-Debat,103.0,,,
59,59008,Aniche,9997.0,17820.0,Très faible,1.3446077915732872
70,70112,Cemboing,170.0,21570.0,Faible,0.020579891639781606
84,84134,Travaillan,713.0,21820.0,Faible,0.08567549879231251
71,71009,Anost,710.0,20910.0,Très faible,0.087631142347359
33,33220,Lamarque,1337.0,21900.0,Faible,0.16027315189128094
07,07282,Saint-Pierre-de-Colombier,441.0,18980.0,Très faible,0.05748116554371344
66,66214,Tresserre,1155.0,22160.0,Faible,0.13737935329341855
38,38089,Chassignieu,223.0,23970.0,Moyen,0.02507739862478159
14,14283,Fourches,218.0,21560.0,Faible,0.0263984994044518
08,08268,Maisoncelle-et-Villers,70.0,,,
54,54383,Mont-sur-Meurthe,1136.0,25050.0,Élevé,0.12335044097363947
13,13061,Saint-Pierre-de-Mézoargues,223.0,22850.0,Moyen,0.025972734501726286
62,62748,Saint-Folquin,2328.0,24620.0,Moyen,0.25637005056581436
04,04203,Selonnet,466.0,19390.0,Très faible,0.06005482601574131
71,71319,Montret,763.0,20070.0,Très faible,0.0964701823263041
